Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10

"[4406827188, 'Hatsune Neeko', 292, 227, 'TOP', 'GRANDMASTER', 'I', 601, False, False, 92, 'SummonerDot', 'SummonerFlash', 'Neeko']","[4406827188, 'Shaco', 237, 193, 'JUNGLE', 'CHALLENGER', 'I', 905, False, True, 106, 'SummonerDot', 'SummonerSmite', 'Shaco']","[4406827188, 'insung', 471, 442, 'MIDDLE', 'MASTER', 'I', 396, False, False, 416, 'SummonerExhaust', 'SummonerFlash', 'Yone']","[4406827188, 'LuòRì', 354, 329, 'BOTTOM', 'GRANDMASTER', 'I', 543, False, False, 686, 'SummonerFlash', 'SummonerExhaust', 'Kaisa']","[4406827188, 'Sdorica aurora', 135, 151, 'UTILITY', 'MASTER', 'I', 407, False, False, 104, 'SummonerFlash', 'SummonerDot', 'Renata']","[4406827188, 'iPwDinah', 348, 332, 'TOP', 'MASTER', 'I', 353, False, False, 158, 'SummonerFlash', 'SummonerDot', 'Camille']","[4406827188, 'wow player 123', 243, 168, 'JUNGLE', 'CHALLENGER', 'I', 1504, True, True, 79, 'SummonerFlash', 'SummonerSmite', 'Belveth']","[4406827188, 'hhveye', 220, 141, 'MIDDLE', 'MASTER', 'I', 411, False, False, 71, 'SummonerFlash', 'SummonerDot', 'Ekko']","[4406827188, 'NanaMomoLala', 456, 447, 'BOTTOM', 'MASTER', 'I', 474, False, True, 806, 'SummonerBoost', 'SummonerFlash', 'Kalista']","[4406827188, 'Alicopter GAP', 239, 225, 'UTILITY', 'GRANDMASTER', 'I', 506, True, False, 83, 'SummonerDot', 'SummonerFlash', 'Alistar']"

"[4403065017, 'Best Riven NA', 165, 120, 'TOP', 'GRANDMASTER', 'I', 808, False, False, 140, 'SummonerFlash', 'SummonerDot', 'Riven']","[4403065017, 'Castle7', 249, 208, 'JUNGLE', 'GRANDMASTER', 'I', 814, False, True, 413, 'SummonerHaste', 'SummonerSmite', 'Hecarim']","[4403065017, 'twitterwolverene', 304, 239, 'MIDDLE', 'GRANDMASTER', 'I', 515, False, False, 142, 'SummonerExhaust', 'SummonerFlash', 'Viktor']","[4403065017, 'EternallyDavid', 180, 163, 'BOTTOM', 'MASTER', 'I', 203, True, False, 141, 'SummonerExhaust', 'SummonerFlash', 'MissFortune']","[4403065017, 'Trieuloo', 727, 705, 'UTILITY', 'GRANDMASTER', 'I', 713, True, False, 847, 'SummonerFlash', 'SummonerDot', 'Amumu']","[4403065017, 'Will Type', 354, 341, 'TOP', 'MASTER', 'I', 421, True, False, 414, 'SummonerDot', 'SummonerFlash', 'Yasuo']","[4403065017, 'Lowest', 269, 227, 'JUNGLE', 'GRANDMASTER', 'I', 748, False, False, 663, 'SummonerFlash', 'SummonerSmite', 'Diana']","[4403065017, 'U K', 622, 627, 'MIDDLE', 'MASTER', 'I', 44, True, False, 142, 'SummonerBarrier', 'SummonerFlash', 'Samira']","[4403065017, 'Ã Ã', 109, 86, 'BOTTOM', 'CHALLENGER', 'I', 858, False, False, 541, 'SummonerFlash', 'SummonerHeal', 'Ezreal']","[4403065017, 'Mute And Pray', 790, 761, 'UTILITY', 'MASTER', 'I', 285, False, False, 578, 'SummonerFlash', 'SummonerDot', 'Nautilus']"

"[4407119391, 'pulse', 727, 693, 'TOP', 'CHALLENGER', 'I', 879, False, False, 599, 'SummonerTeleport', 'SummonerFlash', 'Ornn']","[4407119391, 'Gryffinn', 88, 75, 'JUNGLE', 'CHALLENGER', 'I', 919, False, False, 170, 'SummonerFlash', 'SummonerSmite', 'Kindred']","[4407119391, 'ScaryJerry', 536, 482, 'MIDDLE', 'CHALLENGER', 'I', 1214, True, False, 429, 'SummonerTeleport', 'SummonerFlash', 'Xerath']","[4407119391, 'big dacko', 371, 337, 'BOTTOM', 'GRANDMASTER', 'I', 794, False, False, 505, 'SummonerFlash', 'SummonerHeal', 'Jhin']","[4407119391, 'new story', 380, 314, 'UTILITY', 'CHALLENGER', 'I', 903, False, False, 117, 'SummonerFlash', 'SummonerDot', 'Brand']","[4407119391, 'Yeetor', 277, 248, 'TOP', 'GRANDMASTER', 'I', 730, False, False, 771, 'SummonerFlash', 'SummonerHaste', 'Garen']","[4407119391, 'Pentaless', 389, 328, 'JUNGLE', 'CHALLENGER', 'I', 1405, True, True, 147, 'SummonerSmite', 'SummonerFlash', 'Nunu']","[4407119391, 'Dun', 261, 198, 'MIDDLE', 'CHALLENGER', 'I', 1364, False, True, 296, 'SummonerFlash', 'SummonerTeleport', 'Viktor']","[4407119391, 'Chaeha', 210, 180, 'BOTTOM', 'CHALLENGER', 'I', 882, False, True, 559, 'SummonerFlash', 'SummonerHaste', 'Zeri']","[4407119391, 'ttv Doglightning', 226, 205, 'UTILITY', 'GRANDMASTER', 'I', 676, True, False, 318, 'SummonerDot', 'SummonerFlash', 'Neeko']"

"[4407372850, 'Hyg Mentality', 528, 497, 'TOP', 'GRANDMASTER', 'I', 632, False, True, 361, 'SummonerTeleport', 'SummonerFlash', 'Camille']","[4407372850, 'WillEvan1', 175, 118, 'JUNGLE', 'CHALLENGER', 'I', 1000, False, False, 78, 'SummonerFlash', 'SummonerSmite', 'Qiyana']","[4407372850, 'RobbyBob', 185, 147, 'MIDDLE', 'CHALLENGER', 'I', 939, True, False, 467, 'SummonerFlash', 'SummonerTeleport', 'Sylas']","[4407372850, 'Pangasius', 322, 276, 'BOTTOM', 'CHALLENGER', 'I', 940, False, False, 272, 'SummonerExhaust', 'SummonerFlash', 'Kalista']","[4407372850, 'FLY Diamond', 283, 244, 'UTILITY', 'CHALLENGER', 'I', 920, True, False, 394, 'SummonerDot', 'SummonerFlash', 'Pantheon']","[4407372850, 'CaptBear', 177, 142, 'TOP', 'CHALLENGER', 'I', 940, True, False, 566, 'SummonerFlash', 'SummonerTeleport', 'Kled']","[4407372850, '10X JG', 195, 171, 'JUNGLE', 'GRANDMASTER', 'I', 499, False, False, 49, 'SummonerFlash', 'SummonerSmite', 'Nidalee']","[4407372850, 'StarRingChild', 171, 144, 'MIDDLE', 'GRANDMASTER', 'I', 579, False, False, 124, 'SummonerFlash', 'SummonerDot', 'Leblanc']","[4407372850, 'Zilean Billion', 223, 185, 'BOTTOM', 'CHALLENGER', 'I', 877, True, False, 284, 'SummonerFlash', 'SummonerHeal', 'Seraphine']","[4407372850, 'TSM FTX Chime', 354, 302, 'UTILITY', 'CHALLENGER', 'I', 1090, False, False, 160, 'SummonerDot', 'SummonerFlash', 'Pyke']"

"[4402897937, 'Minishcap1', 151, 125, 'TOP', 'GRANDMASTER', 'I', 739, False, True, 259, 'SummonerHaste', 'SummonerFlash', 'Singed']","[4402897937, 'Dinner', 129, 100, 'JUNGLE', 'MASTER', 'I', 362, False, False, 580, 'SummonerFlash', 'SummonerSmite', 'LeeSin']","[4402897937, 'Diuuuuuuuuuuuuuu', 269, 233, 'MIDDLE', 'CHALLENGER', 'I', 862, False, False, 186, 'SummonerFlash', 'SummonerDot', 'Pantheon']","[4402897937, 'Snoopsss', 320, 273, 'BOTTOM', 'DIAMOND', 'I', 74, False, False, 411, 'SummonerFlash', 'SummonerBoost', 'Draven']","[4402897937, 'Pockus', 470, 437, 'UTILITY', 'CHALLENGER', 'I', 971, False, True, 613, 'SummonerFlash', 'SummonerDot', 'Braum']","[4402897937, 'BladeCube', 509, 469, 'TOP', 'GRANDMASTER', 'I', 841, False, True, 490, 'SummonerHaste', 'SummonerDot', 'Volibear']","[4402897937, 'June9', 272, 267, 'BOTTOM', 'MASTER', 'I', 338, False, False, 133, 'SummonerHaste', 'SummonerFlash', 'Kaisa']","[4402897937, 'Mufat Carlsen', 117, 79, 'MIDDLE', 'MASTER', 'I', 332, False, False, 84, 'SummonerFlash', 'SummonerDot', 'Renekton']","[4402897937, 'Fragile Fantasy', 179, 144, 'JUNGLE', 'CHALLENGER', 'I', 911, True, False, 56, 'SummonerSmite', 'SummonerFlash', 'Nunu']","[4402897937, 'Mr CapAŁot', 194, 186, 'UTILITY', 'GRANDMASTER', 'I', 841, False, False, 194, 'SummonerFlash', 'SummonerDot', 'Amumu']"
