Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10
"[4407119391, 'Ornn', 2, 0, 3, True, 130, 15, 12]","[4407119391, 'Kindred', 9, 2, 4, True, 9, 87, 6]","[4407119391, 'Xerath', 3, 0, 5, True, 108, 18, 6]","[4407119391, 'Jhin', 4, 2, 5, True, 104, 27, 6]","[4407119391, 'Brand', 3, 1, 6, True, 18, 50, 37]","[4407119391, 'Garen', 0, 4, 0, False, 100, 5, 8]","[4407119391, 'Nunu', 0, 5, 3, False, 34, 20, 6]","[4407119391, 'Viktor', 0, 5, 2, False, 103, 18, 6]","[4407119391, 'Zeri', 5, 2, 0, False, 104, 2, 11]","[4407119391, 'Neeko', 0, 5, 3, False, 25, 0, 28]"

"[4407372850, 'Camille', 5, 1, 4, True, 205, 9, 21]","[4407372850, 'Qiyana', 10, 3, 10, True, 56, 45, 26]","[4407372850, 'Sylas', 2, 5, 4, True, 202, 18, 17]","[4407372850, 'Kalista', 2, 8, 6, True, 172, 12, 20]","[4407372850, 'Pantheon', 7, 9, 9, True, 25, 91, 84]","[4407372850, 'Kled', 1, 6, 8, False, 203, 0, 9]","[4407372850, 'Nidalee', 14, 8, 8, False, 44, 43, 30]","[4407372850, 'Leblanc', 3, 2, 7, False, 208, 12, 23]","[4407372850, 'Seraphine', 4, 4, 12, False, 222, 10, 11]","[4407372850, 'Pyke', 4, 6, 12, False, 40, 57, 67]"

"[4402897937, 'Singed', 3, 6, 12, False, 175, 92, 21]","[4402897937, 'LeeSin', 7, 7, 9, False, 22, 17, 24]","[4402897937, 'Pantheon', 5, 8, 10, False, 131, 19, 18]","[4402897937, 'Draven', 8, 9, 13, False, 165, 4, 19]","[4402897937, 'Braum', 4, 8, 19, False, 46, 18, 49]","[4402897937, 'Volibear', 3, 5, 16, True, 157, 21, 9]","[4402897937, 'Kaisa', 19, 5, 9, True, 189, 10, 18]","[4402897937, 'Renekton', 7, 3, 13, True, 178, 35, 30]","[4402897937, 'Nunu', 3, 7, 22, True, 26, 90, 17]","[4402897937, 'Amumu', 5, 7, 22, True, 34, 50, 51]"

"[4403269132, 'MonkeyKing', 13, 4, 13, False, 40, 14, 24]","[4403269132, 'Annie', 3, 4, 11, False, 187, 51, 29]","[4403269132, 'Renata', 5, 6, 21, False, 18, 40, 62]","[4403269132, 'Cassiopeia', 4, 9, 7, True, 234, 9, 60]","[4403269132, 'Swain', 5, 9, 10, True, 230, 11, 11]","[4403269132, 'Garen', 9, 3, 2, True, 338, 29, 26]"

"[4406236362, 'Darius', 7, 3, 3, True, 159, 28, 16]","[4406236362, 'Khazix', 9, 1, 2, True, 11, 28, 19]","[4406236362, 'Azir', 5, 1, 1, True, 187, 5, 12]","[4406236362, 'Sivir', 1, 1, 7, True, 192, 4, 18]","[4406236362, 'Soraka', 2, 2, 14, True, 16, 12, 46]","[4406236362, 'Olaf', 1, 6, 1, False, 150, 4, 12]","[4406236362, 'Graves', 1, 3, 3, False, 58, 26, 25]","[4406236362, 'Sylas', 4, 3, 0, False, 132, 81, 13]","[4406236362, 'Ezreal', 1, 5, 1, False, 148, 0, 13]","[4406236362, 'Ashe', 1, 7, 4, False, 26, 19, 49]"

"[4406814109, 'LeeSin', 6, 6, 7, True, 175, 19, 10]","[4406814109, 'Olaf', 8, 0, 14, True, 43, 16, 27]","[4406814109, 'Orianna', 8, 3, 13, True, 209, 26, 26]","[4406814109, 'Ezreal', 3, 5, 10, True, 158, 36, 27]","[4406814109, 'Janna', 2, 3, 16, True, 9, 17, 58]","[4406814109, 'Jayce', 2, 9, 2, False, 176, 54, 15]","[4406814109, 'Poppy', 2, 6, 5, False, 35, 17, 21]","[4406814109, 'Akali', 5, 6, 1, False, 161, 8, 24]","[4406814109, 'Draven', 5, 2, 2, False, 225, 21, 18]","[4406814109, 'Nautilus', 2, 4, 7, False, 40, 185, 69]"

